,Booking Date,Txn Date,Booking Text,Value Date,Debit,Credit,Balance
0,2018/03/31,2018/03/31,Initial Balance,,,,0.0
1,2018/01/04,2018/01/04,VALUE DATED BALANCE BROUGHT FORWARD,2018/01/04,,180431640.0,180431640.0
2,2018/06/04,2018/06/04,INTEREST-FIXED TERM LOAN,2018/06/04,472500.0,,179959140.0
3,,,Contract No: 3001-AA18091ZN72C|Interest rate:,,,,
4,,,"0.810000%|Capital: 1,000,000,000.00|Period: 16.03.2018 -",,,,
5,,,06.04.2018|Days: 21/360,,,,
6,2018/06/04,2018/06/04,INTEREST-FIXED TERM LOAN,2018/06/04,315000.0,,179644140.0
7,,,"Contract No: 3001-AA1809166QNF|Interest rate:
B anking",,,,
8,,,"0.810000%|Capital: 1,000,000,000.00|Period: 23.03.2018 -",,,,
9,,,06.04.2018|Days: 14/360,,,,
10,2018/06/04,2018/06/04,FOREX SPOT,2018/06/04,,472500.0,180116640.0
11,,,EUR/JPY 130.7271,,,,
12,2018/06/04,2018/06/04,FOREX SPOT,2018/06/04,,315000.0,180431640.0
13,,,EUR/JPY 130.7021,,,,
14,2018/09/04,2018/09/04,INTEREST-FIXED TERM LOAN,2018/09/04,157500.0,,180274140.0
15,,,Contract No: 3001-AA18091NTT8N|Interest rate:,,,,
16,,,"0.810000%|Capital: 500,000,000.00|Period: 26.03.2018 -",,,,
17,,,,,,,
18,,,09.04.2018|Days: 14/360,,,,
19,,2018/09/04,"FOREX SPOT
EUR/JPY 131.1407",2018/09/04,,157500.0,180431640.0
20,2018/10/04,2018/10/04,INTEREST-FIXED TERM LOAN,2018/10/04,157500.0,,180274140.0
21,,,,,,,
22,,,Contract No: 3001-AA18091NL9XG|Interest rate:,,,,
23,,,"0.810000%|Capital: 500,000,000.00|Period: 27.03.2018 -
10.04.2018|Days: 14/360",,,,
24,2018/10/04,2018/10/04,FOREX SPOT,2018/10/04,,157500.0,180431640.0
25,,,EUR/JPY 131.1953,,,,
26,,,Carried forward,,,,180431640.0
27,,,,,,,
